layout,averages,bests
contestClassic,694.2233333,821
contestClassic,694.3666667,754.6
contestClassic,744.76,851.4
contestClassic,737.4766667,876.6
contestClassic,733.7966667,839.1333333
contestClassic,764.0633333,884.8
contestClassic,784.8433333,859.3333333
contestClassic,802.3166667,907.2
contestClassic,784.6566667,850.6
contestClassic,771.53,844.2
contestClassic,791.21,844.4
contestClassic,786.5633333,914.4666667
contestClassic,784.15,850.9333333
contestClassic,798.76,964.3333333
contestClassic,766.5533333,863.8
contestClassic,785.97,867.6666667
contestClassic,768.8166667,842.7333333
contestClassic,799.8666667,906.5333333
contestClassic,803.3866667,900.9333333
contestClassic,787.1666667,882.2666667
minimaxClassic,777.2766667,976.2
minimaxClassic,765.5033333,1042.8
minimaxClassic,798.7866667,1043.066667
minimaxClassic,771.9933333,976.8666667
minimaxClassic,788.5666667,973.9333333
minimaxClassic,808.9666667,976.6
minimaxClassic,795.75,1044.066667
minimaxClassic,751.9866667,908.8
minimaxClassic,819.3866667,1043.4
minimaxClassic,799.23,1245
minimaxClassic,866.2066667,1043.6
minimaxClassic,815.73,1109.333333
minimaxClassic,758.4733333,908
minimaxClassic,761.98,976.6
minimaxClassic,802.5266667,976.6
minimaxClassic,772.1933333,976.7333333
minimaxClassic,795.46,975.8666667
minimaxClassic,812.5233333,1042.8
minimaxClassic,772.21,975.2
minimaxClassic,778.8666667,909.3333333
originalClassic,453.29,623.1333333
originalClassic,510.2233333,573.7333333
originalClassic,534.9466667,581.4666667
originalClassic,564.9733333,614.4
originalClassic,552.2133333,621.3333333
originalClassic,557.5866667,643.2
originalClassic,539.81,605.8
originalClassic,574.0433333,619.8666667
originalClassic,563.19,600.9333333
originalClassic,584.5033333,668.8666667
originalClassic,548.54,624.9333333
originalClassic,559.8033333,594.7333333
originalClassic,555.4166667,631.8
originalClassic,579.86,669.2
originalClassic,577.9866667,620.8666667
originalClassic,581.6566667,658.4
originalClassic,590.45,646.0666667
originalClassic,571.96,698.0666667
originalClassic,588.3266667,675.8
originalClassic,601.3533333,652.6
powerClassic,728.0233333,827
powerClassic,736.23,810.3333333
powerClassic,751.92,862.6666667
powerClassic,757.4366667,849.8666667
powerClassic,736.9833333,889.6666667
powerClassic,730.5933333,839.5333333
powerClassic,759.39,814.2
powerClassic,747.4,946
powerClassic,758.1,887.8
powerClassic,766.73,861
powerClassic,812.1866667,1013.066667
powerClassic,772.2433333,883.8
powerClassic,771.9633333,889.8666667
powerClassic,772.42,885.4666667
powerClassic,773.78,856.6
powerClassic,800.0066667,966.8666667
powerClassic,799.7466667,917.7333333
powerClassic,809.9433333,940.2666667
powerClassic,788.9166667,911.5333333
powerClassic,815.45,939
smallClassic,625.6833333,691.6
smallClassic,651.37,682.8666667
smallClassic,652.4866667,668.1333333
smallClassic,653.4333333,716.8666667
smallClassic,648.34,678
smallClassic,669.1,705.8
smallClassic,674.7233333,718.9333333
smallClassic,672.3933333,723.2666667
smallClassic,685.3433333,779.6666667
smallClassic,679.5666667,746.1333333
smallClassic,665.74,695.4
smallClassic,671.1466667,757.8666667
smallClassic,680.1866667,717.0666667
smallClassic,683.05,777.2
smallClassic,685.26,757.7333333
smallClassic,685.68,732.7333333
smallClassic,679.18,718.6666667
smallClassic,685.4166667,751.5333333
smallClassic,694.04,741.4
smallClassic,676.1166667,712.8
capsuleClassic,500.4166666666667,564.2666666666667
capsuleClassic,541.8066666666666,561.0666666666666
capsuleClassic,546.0033333333333,607.8666666666667
capsuleClassic,552.9766666666667,591.0666666666666
capsuleClassic,549.3799999999999,608.2666666666667
capsuleClassic,561.0166666666667,573.6666666666667
capsuleClassic,562.5133333333333,625.2666666666667
capsuleClassic,561.79,591.2
capsuleClassic,555.2866666666666,579.3333333333333
capsuleClassic,562.4166666666666,577.8
capsuleClassic,551.2233333333335,568.6666666666667
capsuleClassic,566.5366666666666,626.0
capsuleClassic,582.6533333333334,670.9333333333334
capsuleClassic,577.2466666666667,662.1333333333333
capsuleClassic,593.1399999999999,646.8
capsuleClassic,572.3933333333333,623.8666666666667
capsuleClassic,591.0033333333333,666.5333333333333
capsuleClassic,577.5233333333333,640.6666666666667
capsuleClassic,582.5533333333335,645.6666666666667
capsuleClassic,578.7066666666667,617.3333333333333
mediumClassic,621.7733333333334,737.5333333333333
mediumClassic,643.5666666666666,706.6666666666667
mediumClassic,661.4533333333334,724.0
mediumClassic,681.5066666666668,726.8666666666667
mediumClassic,682.2066666666667,735.7333333333333
mediumClassic,684.54,748.8
mediumClassic,685.4466666666667,737.8666666666667
mediumClassic,672.6433333333333,735.4666666666667
mediumClassic,675.1233333333334,723.2666666666667
mediumClassic,664.1933333333333,725.8666666666667
mediumClassic,672.22,729.0666666666666
mediumClassic,678.9233333333333,727.2666666666667
mediumClassic,680.8866666666668,706.6666666666667
mediumClassic,680.6033333333334,795.2666666666667
mediumClassic,692.28,751.8666666666667
mediumClassic,689.98,738.2
mediumClassic,686.6033333333332,753.4666666666667
mediumClassic,694.7166666666667,748.3333333333334
mediumClassic,686.5166666666667,770.5333333333333
mediumClassic,684.1899999999999,762.7333333333333
