layout,averages,bests
minimaxClassic,737.3733333,842.2666667
minimaxClassic,755.5433333,909.3333333
minimaxClassic,792.22,1042.6
minimaxClassic,768.84,977.5333333
minimaxClassic,796.04,1042.933333
minimaxClassic,798.7866667,1043.733333
minimaxClassic,731.65,976.2
minimaxClassic,775.3466667,976.6666667
minimaxClassic,772.54,976.8666667
minimaxClassic,735.2566667,908.8
minimaxClassic,802.41,977.4666667
minimaxClassic,778.71,909.4
minimaxClassic,812.4833333,976
minimaxClassic,808.88,1044.666667
minimaxClassic,771.9533333,975.5333333
minimaxClassic,748.56,976.8666667
minimaxClassic,732.0033333,909.5333333
minimaxClassic,765.3633333,909.7333333
minimaxClassic,778.8033333,976.8666667
minimaxClassic,741.9833333,974.7333333
capsuleClassic,499.2875,610.25
capsuleClassic,551.4125,681.75
capsuleClassic,536.8625,592.75
capsuleClassic,582.8375,693.75
capsuleClassic,570.7125,677.25
capsuleClassic,579.8875,665.0
capsuleClassic,579.6125,634.0
capsuleClassic,559.3625,658.5
capsuleClassic,598.6375,899.5
capsuleClassic,585.4625,726.0
capsuleClassic,584.9375,690.0
capsuleClassic,569.3125,765.5
capsuleClassic,561.6875,732.25
capsuleClassic,570.5,689.0
capsuleClassic,559.9125,633.25
capsuleClassic,597.775,716.75
capsuleClassic,604.3125,677.5
capsuleClassic,582.9875,717.75
capsuleClassic,556.9625,686.75
capsuleClassic,592.25,791.75
mediumClassic,602.1,757.0
mediumClassic,629.95,839.0
mediumClassic,636.175,803.5
mediumClassic,639.35,863.0
mediumClassic,642.425,902.0
mediumClassic,654.65,1016.0
mediumClassic,632.6,752.0
mediumClassic,622.2,931.0
mediumClassic,646.575,884.0
mediumClassic,646.975,779.5
mediumClassic,653.725,904.5
mediumClassic,643.6,936.0
mediumClassic,650.85,901.5
mediumClassic,629.425,730.0
mediumClassic,652.95,829.5
mediumClassic,687.3,844.0
mediumClassic,628.1,881.0
mediumClassic,655.75,933.0
mediumClassic,646.525,910.5
mediumClassic,632.025,829.0
originalClassic,380.725,534.0
originalClassic,411.32500000000005,551.5
originalClassic,463.275,538.0
originalClassic,490.5,597.0
originalClassic,496.975,612.0
originalClassic,525.65,605.0
originalClassic,524.25,586.5
originalClassic,497.3,586.0
originalClassic,510.275,625.5
originalClassic,520.25,618.5
originalClassic,549.625,612.5
originalClassic,548.025,650.0
originalClassic,530.025,623.0
originalClassic,528.925,632.0
originalClassic,549.1,622.0
originalClassic,501.275,643.0
originalClassic,509.275,623.0
originalClassic,545.925,653.0
originalClassic,577.125,672.0
originalClassic,554.7,616.5
smallClassic,511.85,581.0
smallClassic,565.225,640.5
smallClassic,585.075,698.5
smallClassic,582.55,762.0
smallClassic,606.125,734.5
smallClassic,582.0,658.5
smallClassic,601.9,763.5
smallClassic,562.025,585.5
smallClassic,583.65,700.5
smallClassic,609.35,785.5
smallClassic,615.9,753.0
smallClassic,634.3,795.0
smallClassic,600.325,760.5
smallClassic,593.7,665.0
smallClassic,659.05,766.0
smallClassic,652.425,883.5
smallClassic,637.375,771.0
smallClassic,639.275,881.5
smallClassic,618.425,888.0
smallClassic,644.425,844.0
